Name Period Type mag_3p6 err_3p6 amp_3p6 mag_4p5 err_4p5 amp_4p5 RA_ICRS DE_ICRS Plx e_Plx id_compare e_gks distance_pc mu_dist good_err A_v A_3p6 A_4p5 M_3p6 M_4p5 e_M_3p6_gks e_M_4p5_gks e_M_3p6_tgas e_M_4p5_tgas log_P logP_f
SVEri 0.714 ab 8.568 0.003 0.209 8.551 0.003 0.197 47.9671733201 -11.354117946 1.34 0.26 sveri 0.179413377428 746.268656716 9.36447600818 1.0 99.99 99.99 99.99 -0.796476008176 -0.813476008176 0.415802151123 0.424677041012 0.602566810261 0.615428008688 -0.146301788224 -0.146301788224
SVHya 0.479 ab 9.37 0.004 0.293 9.351 0.004 0.272 187.626927347 -26.0474677248 1.32 0.24 svhya 0.161084325743 757.575757576 9.39713034397 1.0 99.99 99.99 99.99 -0.0271303439708 -0.0461303439707 0.0125267097879 0.0212994510119 0.0186635765405 0.0317341058094 -0.319664486585 -0.319664486585
SVScl 0.377 c 10.502 0.002 0.1 10.494 0.002 0.109 26.2485860419 -30.0594227086 0.44 0.32 svscl 0.232180619346 2272.72727273 11.7827366176 1.0 99.99 99.99 99.99 -1.28073661757 -1.28873661757 0.284114202529 0.285888895152 0.391576735391 0.394022682504 -0.423658649794 -0.296658649794
SWAnd 0.442 ab 8.489 0.004 0.279 8.475 0.004 0.274 5.9295084011 29.40092877 1.77 0.26 swand 0.179413377428 564.971751412 8.76013366819 1.0 99.99 99.99 99.99 -0.271133668191 -0.285133668191 0.186967428498 0.196621500814 0.270947050669 0.284937414769 -0.354577730651 -0.354577730651
SWDra 0.57 ab 9.306 0.004 0.257 9.288 0.004 0.275 184.443965372 69.5105901138 1.01 0.23 swdra 0.151706591815 990.099009901 9.97839313109 1.0 99.99 99.99 99.99 -0.672393131087 -0.690393131087 0.22371946484 0.229708447596 0.339177434816 0.348257233336 -0.244125144328 -0.244125144328
SXUma 0.307 c 10.077 0.002 0.107 10.066 0.002 0.11 201.555572152 56.2569641051 0.42 0.34 sxuma 0.249290914395 2380.95238095 11.883753548 1.0 99.99 99.99 99.99 -1.80675354801 -1.81775354801 0.410779856004 0.413280794244 0.560249565345 0.563660515157 -0.512861624523 -0.385861624523
TTLyn 0.597 ab 8.587 0.003 0.221 8.574 0.003 0.249 135.781952974 44.585411912 1.53 0.4 ttlyn 0.299759903923 653.594771242 9.07654284591 1.0 99.99 99.99 99.99 -0.489542845912 -0.502542845912 0.487539741044 0.500486547911 0.650573637783 0.667849872941 -0.224025668871 -0.224025668871
TUUma 0.558 ab 8.623 0.004 0.293 8.609 0.004 0.282 172.45170636 30.0671048305 1.47 0.31 tuuma 0.223553148043 680.272108844 9.16341332626 1.0 99.99 99.99 99.99 -0.540413326259 -0.554413326259 0.385636899039 0.395627246189 0.534760649204 0.5486142106 -0.253365801062 -0.253365801062
TVBoo 0.313 c 10.198 0.002 0.133 10.181 0.002 0.138 214.15239926 42.3597795226 0.76 0.23 tvboo 0.151706591815 1315.78947368 10.5959320386 1.0 99.99 99.99 99.99 -0.397932038596 -0.414932038596 0.0996279971609 0.103884191259 0.15104442794 0.157497176284 -0.504455662454 -0.377455662454
TWHer 0.4 ab 10.239 0.004 0.304 10.213 0.005 0.358 268.63001986 30.4104564167 0.65 0.31 twher 0.223553148043 1538.46153846 10.9354332168 1.0 99.99 99.99 99.99 -0.696433216786 -0.722433216786 0.219749690423 0.227953723811 0.304725652795 0.316102073157 -0.397940008672 -0.397940008672
UUVir 0.476 ab 9.492 0.004 0.308 9.483 0.004 0.299 182.145053546 -0.486667708 1.35 0.32 uuvir 0.232180619346 740.740740741 9.34833115752 1.0 99.99 99.99 99.99 0.143668842475 0.134668842475 0.0977860099157 0.0916602969965 0.134772318297 0.126329632741 -0.32239304728 -0.32239304728
UVOct 0.543 ab 8.182 0.004 0.244 8.17 0.004 0.247 248.104106151 -83.9034179411 2.02 0.23 uvoct 0.151706591815 495.04950495 8.47324315277 1.0 99.99 99.99 99.99 -0.291243152767 -0.303243152767 0.193805446475 0.201790751476 0.293825372782 0.305931767287 -0.265200170411 -0.265200170411
V440Sgr 0.477 ab 9.04 0.004 0.322 9.023 0.004 0.311 293.086573775 -23.8537730654 1.28 0.42 v440sgr 0.316371996232 781.25 9.46395015176 1.0 99.99 99.99 99.99 -0.423950151761 -0.440950151761 0.372801087136 0.387750058221 0.494912476095 0.514757998305 -0.32148162096 -0.32148162096
VXHer 0.455 ab 9.601 0.005 0.332 9.58 0.004 0.322 247.669786596 18.3669089262 0.9 0.24 vxher 0.161084325743 1111.11111111 10.2287874528 1.0 99.99 99.99 99.99 -0.627787452803 -0.648787452803 0.197634761686 0.204245705103 0.294456378187 0.304306116109 -0.341988603343 -0.341988603343
VInd 0.48 ab 8.852 0.004 0.281 8.834 0.004 0.28 317.845586287 -45.1004617974 1.1 0.27 vind 0.18840618355 909.090909091 9.79303657421 1.0 99.99 99.99 99.99 -0.941036574209 -0.959036574209 0.423495573277 0.431596131069 0.606900331272 0.618509026242 -0.318758762624 -0.318758762624
WYAnt 0.574 ab 9.569 0.004 0.261 9.552 0.004 0.279 154.020782442 -29.7286584491 0.83 0.23 wyant 0.151706591815 1204.81927711 10.4046095381 1.0 99.99 99.99 99.99 -0.83560953812 -0.85260953812 0.228476088957 0.233124305793 0.346388809727 0.353435893361 -0.241088107602 -0.241088107602
XZCyg 0.467 ab 8.657 0.003 0.225 8.641 0.004 0.237 293.122744699 56.3880918751 1.56 0.23 xzcyg 0.151706591815 641.025641026 9.03437700823 1.0 99.99 99.99 99.99 -0.377377008228 -0.393377008228 0.193936208879 0.202158736695 0.294023626657 0.306489640478 -0.330683119434 -0.330683119434
XAri 0.651 ab 7.888 0.004 0.289 7.862 0.004 0.3 47.1289683176 10.4455227543 2.02 0.22 xari 0.142149358071 495.04950495 8.47324315277 1.0 99.99 99.99 99.99 -0.585243152767 -0.611243152767 0.364911098876 0.381122632518 0.564761089157 0.589851153969 -0.186419011432 -0.186419011432
YZCap 0.273 c 10.338 0.001 0.093 10.321 0.001 0.098 319.884991789 -15.1170622829 0.53 0.29 yzcap 0.206123288349 1886.79245283 11.378620652 1.0 99.99 99.99 99.99 -1.040620652 -1.057620652 0.24685943133 0.250892226947 0.347312682202 0.352986522748 -0.563837352959 -0.436837352959
