HIP	TYC	VarName
66696	8671    86 1	XX_Cen
67566	8672  1141 1	V381_Cen
70203	9006  2509 1	V339_Cen
70574	8277  3280 1	tau01_Lup
71116	8687  1581 1	V_Cen
71492	9011  1888 1	V737_Cen
71860	8283  4134 1	alf_Lup
72121	8684  3401 1	BU_Cir
72264	9007  2040 1	BP_Cir
72583	9019   195 1	AV_Cir
72710	7824  1432 1	V1018_Cen
72773	9028  1324 1	AX_Cir
73152	9258  2994 1	EN_TrA
74448	8698    48 1	IQ_Nor
75018	9033    66 1	R_TrA
75430	8695  2194 1	GH_Lup
76918	8700  1230 1	U_Nor
77913	8701  1047 1	SY_Nor
78476	9044   358 1	S_TrA
78771	8322   543 1	TW_Nor
78797	8710  2057 1	RS_Nor
78978	9040   921 1	U_TrA
79625	8711  1738 1	GU_Nor
79932	8719   158 1	S_Nor
80112	6798   540 1	sig_Sco
80563	7865   843 1	V348_Nor
82023	8338  1244 1	V340_Ara
82498	8326   368 1	KQ_Sco
83059	7364  1081 1	RV_Sco
83674	6819  3887 1	BF_Oph
84970	6829   577 1	the_Oph
85035	8341   720 1	V636_Sco
85189	6833    85 1	V2371_Oph
85701	7379   496 1	V482_Sco
85927	7388  1093 1	lam_Sco
86269	7888  5616 1	V950_Sco
86432	7380   607 1	V994_Sco
86670	7885  2065 1	kap_Sco
87072	6836   118 1	X_Sgr
87173	7377   688 1	V500_Sco
87495	5095   339 1	Y_Oph
87812	 417  2592 1	V2052_Oph
88567	6854  4373 1	W_Sgr
88884	6276   685 1	V4382_Sgr
89013	5688   156 1	CR_Ser
89276	6843   378 1	AP_Sgr
89596	6273   761 1	WZ_Sgr
89968	6273   200 1	Y_Sgr
90110	6269  2776 1	AY_Sgr
90241	6266  1624 1	XX_Sgr
90791	5699   280 1	X_Sct
90836	6274  1601 1	U_Sgr
91201	 454   826 1	BQ_Ser
91239	5691   913 1	EV_Sct
91342	5125   560 1	EW_Sct
91366	5691  1302 1	Y_Sct
91613	5125  2906 1	CK_Sct
91697	5121   297 1	RU_Sct
91706	5121   954 1	TY_Sct
91738	5121   611 1	CM_Sct
91785	5125  1849 1	Z_Sct
91867	5692   795 1	SS_Sct
92013	6292    30 1	V350_Sgr
92067	1033  1898 1	BB_Her
92370	6281   535 1	YZ_Sgr
92491	6289  3062 1	BB_Sgr
93015	9082  1890 1	kap_Pav
93063	5115   227 1	V493_Aql
93124	1589  2551 1	FF_Aql
93399	 462  1251 1	V336_Aql
93681	 462  1084 1	SZ_Aql
93990	 463   925 1	TT_Aql
94004	5141   338 1	V496_Aql
94094	1045   646 1	FM_Aql
94402	 467   997 1	FN_Aql
94588	1045   567 1	V1447_Aql
94685	2132  3196 1	V473_Lyr
94793	 464  2054 1	V1449_Aql
95118	1042   422 1	V600_Aql
95820	5143  1372 1	U_Aql
96458	1610   775 1	U_Vul
96596	2659  2397 1	V924_Cyg
